State,Total,Acquisitions,Closed,Closure %,Acquisition %
AB,15,0,15,100,0
AK,1,0,1,100,0
AL,4,3,1,25,75
AR,4,0,4,100,0
AZ,34,14,20,58.82352941,41.17647059
BC,46,0,46,100,0
CA,2147,1351,796,37.07498836,62.92501164
CO,116,62,54,46.55172414,53.44827586
CT,47,19,28,59.57446809,40.42553191
DC,18,9,9,50,50
DE,7,2,5,71.42857143,28.57142857
FL,108,39,69,63.88888889,36.11111111
GA,70,38,32,45.71428571,54.28571429
HI,2,0,2,100,0
IA,9,4,5,55.55555556,44.44444444
ID,5,1,4,80,20
IL,128,71,57,44.53125,55.46875
IN,20,6,14,70,30
KS,6,2,4,66.66666667,33.33333333
KY,9,3,6,66.66666667,33.33333333
LA,4,1,3,75,25
MA,370,247,123,33.24324324,66.75675676
MB,3,0,3,100,0
MD,63,42,21,33.33333333,66.66666667
ME,8,3,5,62.5,37.5
MI,23,9,14,60.86956522,39.13043478
MN,45,24,21,46.66666667,53.33333333
MO,19,10,9,47.36842105,52.63157895
MS,4,2,2,50,50
MT,3,2,1,33.33333333,66.66666667
NC,55,27,28,50.90909091,49.09090909
NE,9,2,7,77.77777778,22.22222222
NH,21,7,14,66.66666667,33.33333333
NJ,91,50,41,45.05494505,54.94505495
NL,4,0,4,100,0
NM,5,1,4,80,20
NS,8,0,8,100,0
NV,14,7,7,50,50
NY,484,265,219,45.24793388,54.75206612
OH,42,19,23,54.76190476,45.23809524
OK,6,3,3,50,50
ON,109,0,109,100,0
OR,47,32,15,31.91489362,68.08510638
PA,117,55,62,52.99145299,47.00854701
QC,37,0,37,100,0
RI,13,6,7,53.84615385,46.15384615
SC,8,3,5,62.5,37.5
SD,1,0,1,100,0
TN,33,11,22,66.66666667,33.33333333
TX,222,123,99,44.59459459,55.40540541
UT,56,30,26,46.42857143,53.57142857
VA,75,44,31,41.33333333,58.66666667
VT,6,4,2,33.33333333,66.66666667
WA,198,120,78,39.39393939,60.60606061
WI,28,12,16,57.14285714,42.85714286
WV,1,0,1,100,0
